name,network,defaultrouter,option150,dnsserver,excluded address
VoIP,10.64.53.16 255.255.255.248,10.64.53.17 ,10.15.81.20 10.7.20.13 10.15.81.12 ,10.7.11.12 10.7.11.180 ,10.64.53.17;10.80.53.102
POS,10.80.53.96 255.255.255.248,10.80.53.102 ,,200.48.225.130 ,10.64.53.17;10.80.53.102
