name,network,defaultrouter,option150,dnsserver,excluded address
VoIP,10.64.63.16 255.255.255.248,10.64.63.17 ,10.9.20.11 10.7.20.13 10.15.81.12 ,10.7.11.12 10.7.11.180 ,10.64.63.17;10.80.63.102
POS,10.80.63.96 255.255.255.248,10.80.63.102 ,,200.48.225.130 ,10.64.63.17;10.80.63.102
